id,name,position,value
295,Michael Keane,DEF,45
296,Nathan Patterson,DEF,45
297,Roman Dixon,DEF,40
298,Reece Welch,DEF,40
299,Iliman Ndiaye,MID,65
300,Dwight McNeil,MID,60
301,Carlos Alcaraz Durán,MID,55
302,Idrissa Gana Gueye,MID,55
303,James Garner,MID,50
304,Tim Iroegbunam,MID,50
305,Harrison Armstrong,MID,45
306,Callum Bates,MID,45
307,Coby Ebere,MID,45
308,Isaac Heath,MID,45
309,Jenson Metcalfe,MID,45
310,Thierno Barry,FWD,60
311,Norberto Bercique Gomes Betuncal,FWD,55
312,Youssef Ramalho Chermiti,FWD,50
313,Martin Sherif,FWD,45
419,Jack Grealish,MID,65
630,Tom King,GK,40
667,Adam Aznou,DEF,45
314,Bernd Leno,GK,50
315,Steven Benda,GK,40
316,Antonee Robinson,DEF,50
317,Joachim Andersen,DEF,45
318,Calvin Bassey,DEF,45
319,Timothy Castagne,DEF,45
320,Issa Diop,DEF,45
321,Jorge Cuenca Barreno,DEF,45
322,Kenny Tete,DEF,45
323,Samuel Amissah,DEF,40
324,Alex Iwobi,MID,65
325,Emile Smith Rowe,MID,60
326,Adama Traoré Diarra,MID,55
327,Andreas Hoelgebaum Pereira,MID,55
328,Ryan Sessegnon,MID,55
329,Harry Wilson,MID,55
330,Sander Berge,MID,50
331,Tom Cairney,MID,50
332,Saša Lukić,MID,50
333,Martial Godo,MID,45
334,Luke Harris,MID,45
335,Josh King,MID,45
336,Harrison Reed,MID,45
337,Raúl Jiménez Rodríguez,FWD,65
338,Rodrigo Muniz Carvalho,FWD,55
664,Benjamin Lecomte,GK,40
339,Illan Meslier,GK,45
340,Alex Cairns,GK,40
341,Karl Darlow,GK,40
342,Jayden Bogle,DEF,45
343,Pascal Struijk,DEF,45
344,Jaka Bijol,DEF,40
345,Sebastiaan Bornauw,DEF,40
346,Sam Byram,DEF,40
347,Gabriel Gudmundsson,DEF,40
348,Joe Rodon,DEF,40
349,Isaac Schmidt,DEF,40
350,Brenden Aaronson,MID,55
351,Wilfried Gnonto,MID,55
352,Jack Harrison,MID,55
353,Daniel James,MID,55
354,Ethan Ampadu,MID,50
355,Sam Greenwood,MID,50
356,Ilia Gruev,MID,50
357,Largie Ramazani,MID,50
358,Tanaka Ao,MID,50
359,Charlie Crew,MID,45
360,Joe Gelhardt,MID,45
361,Darko Gyabi,MID,45
362,Joël Piroe,FWD,55
363,Patrick Bamford,FWD,50
364,Mateo Joseph Fernández-Regatillo,FWD,50
365,Lukas Nmecha,FWD,50
493,Sean Longstaff,MID,50
660,Anton Stach,MID,50
665,Lucas Estella Perri,GK,45
691,Dominic Calvert-Lewin,FWD,55
366,Alisson Becker,GK,55
367,Giorgi Mamardashvili,GK,45
368,Ármin Pécsi,GK,40
369,Freddie Woodman,GK,40
370,Jeremie Frimpong,DEF,60
371,Milos Kerkez,DEF,60
372,Andrew Robertson,DEF,60
373,Virgil van Dijk,DEF,60
374,Ibrahima Konaté,DEF,55
375,Conor Bradley,DEF,50
376,Joe Gomez,DEF,50
377,Konstantinos Tsimikas,DEF,50
378,Amara Nallo,DEF,40
379,Rhys Williams,DEF,40
380,Calvin Ramsay,DEF,40
381,Mohamed Salah,MID,145
382,Florian Wirtz,MID,85
383,Luis Díaz Marulanda,MID,80
384,Cody Gakpo,MID,75
385,Federico Chiesa,MID,65
386,Alexis Mac Allister,MID,65
387,Dominik Szoboszlai,MID,65
388,Curtis Jones,MID,55
389,Harvey Elliott,MID,55
390,Ryan Gravenberch,MID,55
392,Endo Wataru,MID,50
393,Stefan Bajčetić Maquieira,MID,45
394,James McConnell,MID,45
395,Tyler Morton,MID,45
396,Trey Nyoni,MID,45
397,Darwin Núñez Ribeiro,FWD,65
398,Jayden Danns,FWD,45
661,Hugo Ekitiké,FWD,86
686,Rio Ngumoha,MID,45
692,Giovanni Leoni,DEF,50
182,James Trafford,GK,50
399,Ederson Santana de Moraes,GK,55
400,Stefan Ortega Moreno,GK,50
401,Marcus Bettinelli,GK,40
402,Rayan Aït-Nouri,DEF,60
403,Joško Gvardiol,DEF,60
404,Manuel Akanji,DEF,55
405,Nathan Aké,DEF,55
406,Abdukodir Khusanov,DEF,55
407,Matheus Nunes,DEF,55
408,Rúben dos Santos Gato Alves Dias,DEF,55
409,John Stones,DEF,55
410,Rico Lewis,DEF,50
411,Nico O'Reilly,DEF,50
412,Vitor de Oliveira Nunes dos Reis,DEF,50
413,Omar Marmoush,MID,85
414,Phil Foden,MID,80
415,Sávio Moreira de Oliveira,MID,70
416,Bernardo Mota Veiga de Carvalho e Silva,MID,65
417,Rayan Cherki,MID,65
418,Jérémy Doku,MID,65
420,İlkay Gündoğan,MID,65
421,Rodrigo 'Rodri' Hernandez Cascante,MID,65
422,Mateo Kovačić,MID,60
423,Nico González Iglesias,MID,60
424,Oscar Bobb,MID,55
425,Claudio Echeverri,MID,55
427,Tijjani Reijnders,MID,56
428,Sverre Nypan,MID,50
429,Kalvin Phillips,MID,50
430,Erling Haaland,FWD,140
119,Bryan Mbeumo,MID,80
431,Altay Bayındır,GK,50
432,André Onana,GK,50
433,Elyh Harrison,GK,40
434,Tom Heaton,GK,40
435,Dermot Mee,GK,40
436,Matthijs de Ligt,DEF,50
437,Lisandro Martínez,DEF,50
438,Noussair Mazraoui,DEF,50
439,Diego León Blanco,DEF,45
440,Diogo Dalot Teixeira,DEF,45
441,Patrick Dorgu,DEF,45
442,Harry Maguire,DEF,45
443,Luke Shaw,DEF,45
444,Leny Yoro,DEF,45
445,Harry Amass,DEF,40
446,Tyler Fredricson,DEF,40
447,Ayden Heaven,DEF,40
448,Tyrell Malacia,DEF,40
449,Bruno Borges Fernandes,MID,90
450,Matheus Santos Carneiro da Cunha,MID,80
451,Marcus Rashford,MID,70
452,Amad Diallo,MID,65
453,Alejandro Garnacho Ferreyra,MID,65
454,Antony dos Santos,MID,60
455,Mason Mount,MID,60
456,Jadon Sancho,MID,60
457,Carlos Henrique Casimiro,MID,55
458,Kobbie Mainoo,MID,50
459,Manuel Ugarte Ribeiro,MID,50
460,Toby Collyer,MID,45
461,Jayce Fitzgerald,MID,45
462,Jack Fletcher,MID,45
463,Sékou Koné,MID,45
464,Jack Moorhouse,MID,45
465,Rasmus Højlund,FWD,65
466,Joshua Zirkzee,FWD,60
467,Chido Obi,FWD,45
468,Ethan Wheatley,FWD,45
681,Benjamin Sesko,FWD,75
52,Jacob Ramsey,MID,55
469,Nick Pope,GK,50
471,Mark Gillespie,GK,40
472,Odysseas Vlachodimos,GK,40
473,Lewis Hall,DEF,55
474,Fabian Schär,DEF,55
475,Sven Botman,DEF,50
476,Dan Burn,DEF,50
477,Tino Livramento,DEF,50
478,Kieran Trippier,DEF,50
479,Emil Krafth,DEF,45
480,Jamaal Lascelles,DEF,45
481,Alex Murphy,DEF,40
482,Harrison Ashby,DEF,40
483,Miodrag Pivaš,DEF,40
484,Matt Targett,DEF,40
485,Anthony Gordon,MID,75
486,Anthony Elanga,MID,70
487,Harvey Barnes,MID,65
488,Bruno Guimarães Rodriguez Moura,MID,65
489,Jacob Murphy,MID,65
490,Joelinton Cássio Apolinário de Lira,MID,60
491,Sandro Tonali,MID,55
492,Antoñito Cordero Campillo,MID,50
494,Joe Willock,MID,50
495,Isaac Hayden,MID,45
496,Garang Kuol,MID,45
497,Lewis Miley,MID,45
498,Joe White,MID,45
499,Alexander Isak,FWD,105
500,William Osula,FWD,55
501,Sean Neave,FWD,45
674,Aaron Ramsdale,GK,50
684,Malick Thiaw,DEF,50
689,Seung-Soo Park,MID,45
426,James McAtee,MID,55
502,Matz Sels,GK,50
503,Carlos Miguel dos Santos Pereira,GK,40
504,Matt Turner,GK,40
505,Nikola Milenković,DEF,55
506,Murillo Costa dos Santos,DEF,55
507,Ola Aina,DEF,50
508,Neco Williams,DEF,50
509,David Mota Veiga Teixeira do Carmo,DEF,45
510,Jair Paula da Cunha Filho,DEF,45
511,Felipe Rodrigues da Silva,DEF,45
512,Omar Richards,DEF,45
513,Zach Abbott,DEF,40
514,Willy Boly,DEF,40
515,Morgan Gibbs-White,MID,75
516,Callum Hudson-Odoi,MID,60
517,Elliot Anderson,MID,55
518,João Pedro Ferreira da Silva,MID,55
519,Nicolás Domínguez,MID,50
520,Lewis O'Brien,MID,50
521,Ibrahim Sangaré,MID,50
522,Ryan Yates,MID,50
523,Eric da Silva Moreira,MID,45
524,Marko Stamenić,MID,45
525,Chris Wood,FWD,76
526,Igor Jesus Maciel da Cruz,FWD,60
527,Taiwo Awoniyi,FWD,55
669,Dan Ndoye,MID,60
675,Angus Gunn,GK,40
693,Omari Hutchinson,MID,55
696,Arnaud Kalimuendo,FWD,60
252,Marc Guiu Paz,FWD,45
528,Anthony Patterson,GK,45
529,Simon Moore,GK,40
530,Blondy Nna Noukeu,GK,40
531,Daniel Ballard,DEF,45
532,Trai Hume,DEF,45
533,Aji Alese,DEF,40
534,Joe Anderson,DEF,40
535,Dennis Cirkin,DEF,40
536,Leo Fuhr Hjelde,DEF,40
537,Niall Huggins,DEF,40
538,Zak Johnson,DEF,40
539,Luke O'Nien,DEF,40
540,Timothée Pembélé,DEF,40
541,Reinildo Mandava,DEF,40
542,Jenson Seelt,DEF,40
543,Simon Adingra,MID,55
544,Habib Diarra,MID,55
545,Patrick Roberts,MID,55
546,Milan Aleksić,MID,50
547,Enzo Le Fée,MID,50
548,Romaine Mundle,MID,50
549,Dan Neil,MID,50
550,Ian Poveda-Ocampo,MID,50
551,Chris Rigg,MID,50
552,Noah Sadiki,MID,50
553,Chemsdine Talbi,MID,50
554,Abdoullah Ba,MID,45
555,Alan Browne,MID,45
556,Pierre Ekwah Elimby,MID,45
557,Harrison Jones,MID,45
558,Jay Matete,MID,45
559,Nectarios Triantis,MID,45
560,Wilson Isidor,FWD,55
561,Eliezer Mayenda Dossou,FWD,55
562,Ahmed Abdullahi,FWD,45
563,Luís Hemir Silva Semedo,FWD,45
564,Nazarii Rusyn,FWD,45
668,Granit Xhaka,MID,50
670,Robin Roefs,GK,45
678,Arthur Masuaku,DEF,40
683,Omar Alderete,DEF,40
694,Nordi Mukiele,DEF,40
565,Guglielmo Vicario,GK,50
566,Brandon Austin,GK,40
567,Antonín Kinský,GK,40
568,Pedro Porro Sauceda,DEF,55
569,Cristian Romero,DEF,50
570,Kevin Danso,DEF,45
571,Ben Davies,DEF,45
572,Radu Drăgușin,DEF,45
573,Djed Spence,DEF,45
574,Destiny Udogie,DEF,45
575,Micky van de Ven,DEF,45
576,Ashley Phillips,DEF,40
577,Takai Kōta,DEF,40
578,Luka Vušković,DEF,40
579,Son Heung-min,MID,85
580,Brennan Johnson,MID,70
581,James Maddison,MID,70
582,Mohammed Kudus,MID,65
583,Dejan Kulusevski,MID,65
584,Mathys Tel,MID,65
585,Rodrigo Bentancur,MID,55
586,Lucas Bergvall,MID,55
587,Yves Bissouma,MID,55
588,Wilson Odobert,MID,55
589,Manor Solomon,MID,55
590,Bryan Gil Salvatierra,MID,50
591,Archie Gray,MID,50
592,Mikey Moore,MID,50
593,Pape Matar Sarr,MID,50
594,Yang Min-hyeok,MID,45
595,Callum Olusesi,MID,45
596,Dominic Solanke-Mitchell,FWD,75
597,Richarlison de Andrade,FWD,65
598,Will Lankshear,FWD,45
599,Dane Scarlett,FWD,45
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,55
600,Alphonse Areola,GK,45
601,Wes Foderingham,GK,40
602,Krisztián Hegyi,GK,40
603,El Hadji Malick Diouf,DEF,45
604,Emerson Palmieri dos Santos,DEF,45
605,Maximilian Kilman,DEF,45
606,Konstantinos Mavropanos,DEF,45
607,Nayef Aguerd,DEF,45
608,Ollie Scarles,DEF,45
609,Jean-Clair Todibo,DEF,45
610,Aaron Wan-Bissaka,DEF,45
611,Kaelan Casey,DEF,40
612,Lucas Tolentino Coelho de Lima,MID,60
613,Tomáš Souček,MID,60
614,James Ward-Prowse,MID,60
615,Crysencio Summerville,MID,55
616,Edson Álvarez Velázquez,MID,50
617,Maxwel Cornet,MID,50
618,Guido Rodríguez,MID,50
619,Luis Guilherme Lira dos Santos,MID,50
620,George Earthy,MID,45
621,Andy Irving,MID,45
622,Lewis Orford,MID,45
623,Freddie Potts,MID,45
624,Jarrod Bowen,FWD,80
625,Niclas Füllkrug,FWD,60
626,Callum Marshall,FWD,45
659,Kyle Walker-Peters,DEF,45
671,Callum Wilson,FWD,60
679,Mads Hermansen,GK,45
