name,season,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Aaron Ramsdale,2022-23,25,GK,49,1.0,50.0,255.0,0,1.9168647276540092,90.0,2.4245013947897256,6
Aaron Ramsdale,2022-23,25,GK,49,1.0,160.0,140.0,1,1.3779098184360064,90.0,3.6163342631931505,7
Aaron Ramsdale,2022-23,26,GK,49,2.0,170.0,130.0,1,2.2519398789573377,90.0,4.744222842128767,1
Aaron Ramsdale,2022-23,27,GK,49,1.0,130.0,250.0,0,2.101293252638225,90.0,3.4961485614191785,6
Aaron Ramsdale,2022-23,28,GK,49,1.0,160.0,130.0,1,1.9008621684254836,90.0,4.330765707612786,3
Aaron Ramsdale,2022-23,29,GK,49,1.0,130.0,165.0,1,2.2005747789503225,90.0,3.887177138408524,3
Aaron Ramsdale,2022-23,30,GK,49,0.0,-10.0,140.0,0,2.600383185966882,90.0,3.591451425605683,1
Aaron Ramsdale,2022-23,31,GK,49,1.0,190.0,175.0,0,2.8669221239779215,90.0,2.7276342837371224,1
Aaron Ramsdale,2022-23,32,GK,49,2.0,170.0,170.0,1,2.377948082651948,90.0,2.151756189158082,2
Aaron Ramsdale,2022-23,33,GK,49,-1.0,-110.0,-20.0,0,2.1852987217679654,90.0,2.101170792772055,1
Aaron Ramsdale,2022-23,34,GK,48,1.0,30.0,20.0,1,2.956865814511977,90.0,1.7341138618480367,3
Aaron Ramsdale,2022-23,35,GK,48,0.0,85.0,70.0,0,2.837910543007985,90.0,2.1560759078986913,10
Aaron Ramsdale,2022-23,36,GK,48,1.0,50.0,90.0,1,3.0586070286719904,90.0,4.770717271932461,2
Aaron Ramsdale,2022-23,37,GK,48,1.0,220.0,255.0,0,2.7057380191146603,90.0,3.847144847954974,2
Aaron Ramsdale,2022-23,38,GK,48,1.0,170.0,140.0,1,2.2038253460764405,90.0,3.2314298986366494,6
Aaron Ramsdale,2023-24,1,GK,50,2.0,290.0,205.0,1,1.4692168973842938,90.0,4.154286599091099,2
Aaron Ramsdale,2023-24,2,GK,50,2.0,310.0,280.0,0,1.4128112649228628,90.0,3.436191066060733,6
Aaron Ramsdale,2023-24,3,GK,50,2.0,200.0,150.0,1,1.4418741766152419,90.0,4.290794044040489,1
Aaron Ramsdale,2023-24,4,GK,50,2.0,140.0,120.0,1,1.361249451076828,90.0,3.1938626960269927,2
Aaron Ramsdale,2023-24,13,GK,47,2.0,280.0,250.0,0,1.2741663007178854,90.0,2.7959084640179954,6
Aaron Ramsdale,2023-24,28,GK,45,2.0,220.0,275.0,1,1.016110867145257,90.0,3.863938976011997,3
Aaron Ramsdale,2024-25,3,GK,44,-1.0,-160.0,-110.0,0,1.2440739114301715,90.0,3.5759593173413315,2
Aaron Ramsdale,2024-25,4,GK,44,-1.0,-140.0,-140.0,1,1.7627159409534476,90.0,3.050639544894221,3
Aaron Ramsdale,2024-25,5,GK,44,0.0,-90.0,-50.0,1,2.6751439606356318,90.0,3.0337596965961477,3
Aaron Ramsdale,2024-25,6,GK,44,-1.0,-220.0,-130.0,0,3.1500959737570877,90.0,3.022506464397432,2
Aaron Ramsdale,2024-25,7,GK,44,-3.0,-310.0,-400.0,0,2.866730649171392,90.0,2.6816709762649547,2
Aaron Ramsdale,2024-25,8,GK,44,0.0,10.0,-30.0,1,2.7111537661142617,90.0,2.45444731750997,1
Aaron Ramsdale,2024-25,9,GK,44,-2.0,-280.0,-170.0,0,2.2407691774095078,90.0,1.9696315450066466,4
