name,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Andrés García,2,DEF,40,0.0,40.0,220.0,0,0.0,0.0,0.0,0
Andrés García,3,DEF,40,0.0,-80.0,10.0,1,0.0,0.0,0.0,0
Andy Irving,1,MID,45,1.0,50.0,50.0,0,0.0,0.0,0.0,1
Andy Irving,2,MID,45,-1.0,-200.0,-90.0,1,1.9,8.0,1.0,0
Andy Irving,3,MID,45,0.0,-80.0,-50.0,0,1.2666666666666668,5.333333333333334,0.6666666666666667,1
Angus Gunn,1,GK,40,0.0,-140.0,100.0,1,0.0,0.0,0.0,0
Angus Gunn,2,GK,40,0.0,70.0,60.0,0,0.0,0.0,0.0,0
Angus Gunn,3,GK,40,0.0,50.0,80.0,1,0.0,0.0,0.0,0
Anthony Elanga,1,MID,70,1.0,30.0,210.0,0,0.0,0.0,0.0,3
Anthony Elanga,2,MID,70,-1.0,-250.0,-90.0,1,6.5,77.0,3.0,2
Anthony Elanga,3,MID,70,2.0,120.0,270.0,0,5.366666666666667,81.33333333333334,2.6666666666666665,1
Anthony Gordon,1,MID,75,1.0,30.0,210.0,0,0.0,0.0,0.0,3
Anthony Gordon,2,MID,75,-1.0,-250.0,-90.0,1,5.9,90.0,3.0,-2
Anthony Gordon,3,MID,75,2.0,120.0,270.0,0,5.733333333333334,75.66666666666667,1.3333333333333335,0
Anthony Patterson,1,GK,45,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Anthony Patterson,2,GK,45,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Anthony Patterson,3,GK,45,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Antoine Semenyo,1,MID,70,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,15
Antoine Semenyo,2,MID,71,0.0,-50.0,100.0,1,10.0,90.0,15.0,6
Antoine Semenyo,3,MID,73,0.0,0.0,100.0,0,10.033333333333335,90.0,12.000000000000002,2
Anton Stach,1,MID,50,-1.0,-40.0,-90.0,1,0.0,0.0,0.0,8
Anton Stach,2,MID,50,-2.0,-240.0,-250.0,0,11.4,90.0,8.0,2
Anton Stach,3,MID,50,-2.0,-270.0,-120.0,1,8.866666666666667,90.0,6.000000000000001,3
Antonee Robinson,1,DEF,50,0.0,-80.0,30.0,0,0.0,0.0,0.0,0
Antonee Robinson,2,DEF,50,0.0,-10.0,10.0,1,0.0,0.0,0.0,1
Antonee Robinson,3,DEF,50,-1.0,-90.0,-30.0,0,0.8333333333333333,9.333333333333332,0.3333333333333333,1
Antoni Milambo,1,MID,55,0.0,-100.0,140.0,0,0.0,0.0,0.0,1
Antoni Milambo,2,MID,55,0.0,-220.0,-40.0,1,0.6,45.0,1.0,0
Antoni Milambo,3,MID,54,1.0,30.0,240.0,0,0.4,30.000000000000004,0.6666666666666667,0
Antony dos Santos,1,MID,60,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,0
Antony dos Santos,2,MID,60,0.0,-10.0,10.0,0,0.0,0.0,0.0,0
Antony dos Santos,3,MID,59,1.0,60.0,50.0,1,0.0,0.0,0.0,0
Antonín Kinský,1,GK,40,1.0,50.0,110.0,1,0.0,0.0,0.0,0
Antonín Kinský,2,GK,40,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Antonín Kinský,3,GK,40,0.0,-100.0,0.0,1,0.0,0.0,0.0,0
Antoñito Cordero Campillo,1,MID,50,1.0,30.0,210.0,0,0.0,0.0,0.0,0
Antoñito Cordero Campillo,2,MID,50,-1.0,-250.0,-90.0,1,0.0,0.0,0.0,0
Antoñito Cordero Campillo,3,MID,50,2.0,120.0,270.0,0,0.0,0.0,0.0,0
Archie Gray,1,MID,50,1.0,50.0,110.0,1,0.0,0.0,0.0,3
Archie Gray,2,MID,50,-1.0,-200.0,0.0,0,0.9,70.0,3.0,0
Archie Gray,3,MID,50,0.0,-100.0,0.0,1,0.6000000000000001,46.66666666666667,2.0,0
